NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200408-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200408,M,STATS,oC,1568071151,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,17.22263582792396,2.031487782612974,-1.028041211212728
M_200408-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200408,M,STATS,oC,1568071151,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,14.06624695365083,3.249975995177218,0.2898507337710385
M_200408-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200408,M,STATS,oC,1568071151,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,17.88917653308724,3.336556390226876,0.8017566458919732
M_200409-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200409,M,STATS,oC,1568072006,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,21.78428285611068,1.066283561128093,-0.8395494271543922
M_200409-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200409,M,STATS,oC,1568072006,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,16.05184462165274,1.850340421598664,-0.9196541514251936
M_200409-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200409,M,STATS,oC,1568072006,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,13.06199972407455,3.119248051524393,0.3887846229719919
M_200409-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200409,M,STATS,oC,1568072006,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,17.44427218590143,3.912959112025171,1.366654623734899
M_200410-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200410,M,STATS,oC,1568072831,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,17.55549897798708,1.686563441167903,-0.2956947733250550
M_200410-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200410,M,STATS,oC,1568072831,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,12.39464127797846,1.063656364323085,-0.3368043009882063
M_200410-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200410,M,STATS,oC,1568072831,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,11.86651860906723,1.340208742540733,-0.3618573228726751
M_200410-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200410,M,STATS,oC,1568072831,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,14.09756130596377,1.389175821062514,1.485280467884395
